acl 2.3.1-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 40.1.1-1
alsa-lib 1.2.5.1-3
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.5.1-1
aom 3.2.0-1
archlinux-keyring 20210902-1
argon2 20190702-3
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.3-1
atk 2.36.0-1
attr 2.5.1-1
audit 3.0.5-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-1
base 2-2
bash 5.1.008-1
binutils 2.36.1-3
bison 3.8.2-1
blueman 2.2.2-1
bluez 5.62-1
bluez-libs 5.62-1
bluez-utils 5.62-1
brotli 1.0.9-4
bzip2 1.0.8-4
ca-certificates 20210603-1
ca-certificates-mozilla 3.71-1
ca-certificates-utils 20210603-1
cairo 1.17.4-5
cantarell-fonts 1:0.303-1
celt 0.11.3-4
coreutils 9.0-2
cryptsetup 2.4.1-1
curl 7.79.1-1
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-2
dconf 0.40.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.13-1
diffutils 3.8-1
dosfstools 4.2-1
double-conversion 3.1.5-2
e2fsprogs 1.46.4-1
efibootmgr 17-2
efivar 37-4
egl-wayland 1:1.1.7-1
eglexternalplatform 1.1-2
elfutils 0.185-1
emacs 27.2-1
expat 2.4.1-1
fakeroot 1.26-1
feh 3.7.2-1
ffmpeg 2:4.4-4
file 5.40-6
filesystem 2021.05.31-1
findutils 4.8.0-1
firefox 93.0-1
flac 1.3.3-3
flex 2.6.4-3
fontconfig 2:2.13.94-1
freetype2 2.11.0-4
fribidi 1.0.11-1
gawk 5.1.0-1
gc 8.0.4-4
gcc 11.1.0-1
gcc-libs 11.1.0-1
gd 2.3.3-2
gdbm 1.21-1
gdk-pixbuf2 2.42.6-2
gettext 0.21-1
ghc 9.0.1-4
ghc-libs 9.0.1-4
giflib 5.2.1-2
git 2.33.1-1
glib-networking 1:2.70.0-1
glib2 2.70.0-1
glibc 2.33-5
gmp 6.2.1-1
gnu-free-fonts 20120503-8
gnupg 2.2.29-1
gnutls 3.7.2-2
go 2:1.17.1-1
gobject-introspection-runtime 1.70.0-1
gpgme 1.16.0-1
gpm 1.20.7.r38.ge82d1a6-4
graphite 1:1.3.14-1
grep 3.7-1
groff 1.22.4-6
grub 2:2.06-2
gsettings-desktop-schemas 41.0-1
gsm 1.0.19-1
gtk-update-icon-cache 1:4.4.0-1
gtk3 1:3.24.30+62+g8d04980f38-2
guile 2.2.7-1
gzip 1.11-1
harfbuzz 3.0.0-1
haskell-adjunctions 4.4-263
haskell-aeson 1.5.6.0-50
haskell-alsa-core 0.5.0.1-16
haskell-alsa-mixer 0.3.0-72
haskell-appar 0.1.8-12
haskell-asn1-encoding 0.9.6-131
haskell-asn1-parse 0.9.5-131
haskell-asn1-types 0.3.4-110
haskell-assoc 1.0.2-101
haskell-async 2.2.3-75
haskell-attoparsec 0.14.1-30
haskell-base-compat 0.11.2-6
haskell-base-compat-batteries 0.11.2-149
haskell-base-orphans 0.8.4-138
haskell-base64-bytestring 1.2.1.0-8
haskell-basement 0.0.12-3
haskell-bifunctors 5.5.11-26
haskell-blaze-builder 0.4.2.1-4
haskell-blaze-html 0.9.1.2-130
haskell-blaze-markup 0.8.2.8-36
haskell-byteable 0.1.1-24
haskell-byteorder 1.0.4-23
haskell-call-stack 0.4.0-15
haskell-case-insensitive 1.2.1.0-110
haskell-cereal 0.5.8.1-11
haskell-comonad 5.0.8-105
haskell-conduit 1.3.4.2-1
haskell-conduit-extra 1.3.5-168
haskell-connection 0.3.1-144
haskell-contravariant 1.5.5-2
haskell-cookie 0.4.5-11
haskell-cryptonite 0.29-24
haskell-data-default 0.7.1.1-170
haskell-data-default-class 0.1.2.0-23
haskell-data-default-instances-containers 0.0.1-35
haskell-data-default-instances-dlist 0.0.1-183
haskell-data-default-instances-old-locale 0.0.1-35
haskell-data-fix 0.3.2-9
haskell-dbus 1.2.21-66
haskell-distributive 0.6.2.1-109
haskell-dlist 1.0-106
haskell-extensible-exceptions 0.1.1.4-35
haskell-free 5.1.7-32
haskell-hashable 1.3.3.0-9
haskell-hinotify 0.4.1-78
haskell-hourglass 0.2.12-153
haskell-http 4000.3.16-73
haskell-http-client 0.7.9-5
haskell-http-client-tls 0.3.5.3-452
haskell-http-conduit 2.3.8-83
haskell-http-types 0.12.3-185
haskell-indexed-traversable 0.1.1-5
haskell-indexed-traversable-instances 0.1-43
haskell-integer-logarithms 1.0.3.1-5
haskell-invariant 0.5.4-92
haskell-iproute 1.7.11-34
haskell-kan-extensions 5.2.3-14
haskell-lens 5.0.1-42
haskell-libmpd 0.10.0.0-48
